Cbench started.
Measure Mode: wall_time
Thread ID: 8165760
Fiber ID: 13046040
Total: 200.825469
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.01      0.152     0.023     0.000     0.129     5735  *Array#each
  0.01      0.068     0.016     0.000     0.052      436  *Module#module_eval
  0.01      0.674     0.012     0.004     0.658      601  *Kernel#require
  0.01      0.012     0.012     0.000     0.000     3100   Symbol#to_s
  0.01      0.014     0.012     0.000     0.002      149   Module#class_eval
  0.00      0.190     0.010     0.000     0.181     5426  *Class#new
  0.00      0.008     0.008     0.000     0.000     6356   Symbol#to_sym
  0.00      0.006     0.006     0.000     0.000     3413   BinData::DSLMixin::DSLParser#parser_abilities
  0.00      0.006     0.006     0.000     0.000      622   IO#set_encoding
  0.00      0.006     0.006     0.000     0.000      971   String#sub
  0.00      0.012     0.006     0.000     0.007     2791   Kernel#dup
  0.00      0.006     0.006     0.000     0.000     1804   String#gsub
  0.00      0.020     0.005     0.000     0.015     1516   Array#map
  0.00      0.005     0.005     0.000     0.000     2932   Module#method_added
  0.00      0.005     0.005     0.000     0.000     1586   Regexp#=~
  0.00      0.012     0.004     0.000     0.008     2973   BinData::DSLMixin::DSLParser#option?
  0.00      0.004     0.004     0.000     0.000     6858   Kernel#nil?
  0.00      0.007     0.004     0.000     0.003     2859   Kernel#initialize_dup
  0.00      0.004     0.004     0.000     0.000     5412   Kernel#hash
  0.00      0.003     0.003     0.000     0.000     4458   Array#include?
  0.00      0.008     0.003     0.000     0.005     1705  *Hash#each
  0.00      0.011     0.003     0.000     0.008     1961  *BinData::AcceptedParametersPlugin#accepted_parameters
  0.00      0.008     0.003     0.000     0.005     2281  *BinData::DSLMixin::DSLParser#endian
  0.00      0.021     0.003     0.000     0.018      857   BinData::Registry#underscore_name
  0.00      0.003     0.003     0.000     0.000      292   Kernel#define_singleton_method
  0.00      0.102     0.003     0.000     0.099      638  *BinData::SanitizedPrototype#initialize
  0.00      0.015     0.003     0.000     0.012     1073   Gem::Dependency#hash
  0.00      0.003     0.003     0.000     0.000     6019   Hash#[]
  0.00      0.010     0.003     0.000     0.007      519   Enumerable#sort_by
  0.00      0.003     0.003     0.000     0.000     3405   Gem::Dependency#type
  0.00      0.003     0.003     0.000     0.000      901   String#downcase
  0.00      0.010     0.003     0.000     0.007     1723  *BinData::DSLMixin#dsl_parser
  0.00      0.003     0.003     0.000     0.000     1725   Hash#[]=
  0.00      0.003     0.003     0.000     0.000     3196   BasicObject#!
  0.00      0.027     0.003     0.000     0.024        4   Bundler::SpecSet#for
  0.00      0.003     0.003     0.000     0.000     3704   Kernel#is_a?
  0.00      0.007     0.003     0.000     0.005     2461   BinData::SanitizedField#name_as_sym
  0.00      0.010     0.003     0.000     0.008     1812  *BinData::DSLMixin::DSLParser#fields
  0.00      0.060     0.003     0.000     0.057      771  *BinData::SanitizedParameters#sanitize!
  0.00      0.064     0.002     0.000     0.062      771  *BinData::SanitizedParameters#initialize
  0.00      0.002     0.002     0.000     0.000     3229   Array#at
  0.00      0.202     0.002     0.000     0.200     1002  *BinData::DSLMixin#method_missing
  0.00      0.003     0.002     0.000     0.000     2901   Kernel#respond_to?
  0.00      0.042     0.002     0.000     0.040      628   BinData::DSLMixin::DSLFieldValidator#ensure_valid_name
  0.00      0.005     0.002     0.000     0.002      953  *<Class::BinData::Base>#arg_processor
  0.00      0.002     0.002     0.000     0.000     1510   String#to_s
  0.00      0.002     0.002     0.000     0.000     1939   Array#sort
  0.00      0.015     0.002     0.000     0.013      569   Enumerable#detect
  0.00      0.002     0.002     0.000     0.000     1029   Array#join
  0.00      0.012     0.002     0.000     0.010     2510   BinData::DSLMixin::DSLFieldValidator#option?
  0.00      0.002     0.002     0.000     0.000     3141   String#hash
  0.00      0.008     0.002     0.000     0.006     2825  *Array#hash
  0.00      0.010     0.002     0.000     0.007      771   BinData::SanitizedParameters#ensure_mandatory_parameters_exist
  0.00      0.002     0.002     0.000     0.000     5144   Module#===
  0.00      0.004     0.002     0.000     0.002      483   Array#collect
  0.00      0.003     0.002     0.000     0.001     1670   Hash#include?
  0.00      0.026     0.002     0.000     0.024      274   Forwardable#def_instance_delegator
  0.00      0.009     0.002     0.000     0.007     1756   Gem::Version#version
  0.00      0.185     0.002     0.000     0.183      628  *BinData::DSLMixin::DSLParser#parse_and_append_field
  0.00      0.002     0.002     0.000     0.000      474   Array#flatten
  0.00      0.110     0.002     0.000     0.108      628   BinData::SanitizedFields#add_field
  0.00      0.002     0.002     0.000     0.000      857   String#tr
  0.00      0.003     0.002     0.000     0.001      938   BinData::AcceptedParametersPlugin::AcceptedParameters#mandatory
  0.00      0.006     0.002     0.000     0.004      783   BinData::AcceptedParametersPlugin#mandatory_parameters
  0.00      0.002     0.002     0.000     0.000      840   Module#method_defined?
  0.00      0.014     0.002     0.000     0.012      812   Hash#each_pair
  0.00      0.002     0.002     0.000     0.000     1799   String#initialize_copy
  0.00    200.692     0.002     0.000   200.690        2  *Kernel#load
  0.00      0.003     0.002     0.000     0.001      628   BinData::DSLMixin::DSLFieldParser#name_from_field_declaration
