Cbench started.
Measure Mode: wall_time
Thread ID: 15399300
Fiber ID: 20287000
Total: 111.789386
Sort by: self_time

 %self      total      self      wait     child     calls  name
  0.03      0.169     0.030     0.000     0.139     5735  *Array#each
  0.01      0.075     0.016     0.000     0.059      436  *Module#module_eval
  0.01      0.013     0.013     0.000     0.000     3100   Symbol#to_s
  0.01      0.238     0.011     0.000     0.227     5426  *Class#new
  0.01      0.009     0.009     0.000     0.000     6356   Symbol#to_sym
  0.01      0.739     0.008     0.004     0.727      601  *Kernel#require
  0.01      0.029     0.008     0.000     0.021      857   BinData::Registry#underscore_name
  0.01      0.009     0.008     0.000     0.002      149   Module#class_eval
  0.01      0.007     0.007     0.000     0.000     1804   String#gsub
  0.01      0.007     0.007     0.000     0.000      622   IO#set_encoding
  0.01      0.014     0.007     0.000     0.008     2791   Kernel#dup
  0.01      0.007     0.007     0.000     0.001      292   Kernel#define_singleton_method
  0.01      0.006     0.006     0.000     0.000      971   String#sub
  0.01      0.006     0.006     0.000     0.000     1586   Regexp#=~
  0.00      0.005     0.005     0.000     0.000     3413   BinData::DSLMixin::DSLParser#parser_abilities
  0.00      0.005     0.005     0.000     0.000     2932   Module#method_added
  0.00      0.011     0.005     0.000     0.006     1705  *Hash#each
  0.00      0.019     0.005     0.000     0.014     1516   Array#map
  0.00      0.015     0.005     0.000     0.010     2973   BinData::DSLMixin::DSLParser#option?
  0.00      0.004     0.004     0.000     0.000     6858   Kernel#nil?
  0.00      0.008     0.004     0.000     0.003     2859   Kernel#initialize_dup
  0.00      0.004     0.004     0.000     0.000     6019   Hash#[]
  0.00      0.009     0.004     0.000     0.006     1723  *BinData::DSLMixin#dsl_parser
  0.00      0.013     0.004     0.000     0.010     1961  *BinData::AcceptedParametersPlugin#accepted_parameters
  0.00      0.004     0.004     0.000     0.000     3196   BasicObject#!
  0.00      0.004     0.004     0.000     0.000     4458   Array#include?
  0.00      0.009     0.004     0.000     0.006     2281  *BinData::DSLMixin::DSLParser#endian
